payment_type,month,count_
UPI,August,2077
UPI,July,2074
UPI,May,2035
UPI,March,1942
UPI,June,1807
UPI,April,1783
UPI,February,1723
UPI,January,1715
UPI,November,1509
UPI,December,1160
UPI,October,1056
UPI,September,903
credit_card,May,8350
credit_card,August,8269
credit_card,July,7841
credit_card,March,7707
credit_card,April,7301
credit_card,June,7276
credit_card,February,6609
credit_card,January,6103
credit_card,November,5897
credit_card,December,4378
credit_card,October,3778
credit_card,September,3286
debit_card,August,311
debit_card,July,264
debit_card,June,209
debit_card,April,124
debit_card,January,118
debit_card,March,109
debit_card,February,82
debit_card,May,81
debit_card,November,70
debit_card,December,64
debit_card,October,54
debit_card,September,43
not_defined,August,2
not_defined,September,1
voucher,July,645
voucher,May,613
voucher,March,591
voucher,August,589
voucher,April,572
voucher,June,563
voucher,January,477
voucher,February,424
voucher,November,387
voucher,October,318
voucher,September,302
voucher,December,294
